0, 1, 1;
1, 1, 2;
2, 1, 3;
3, 1, 4;
4, 1, 5;
5, 1, 6;
6, 1, 7;
7, 1, 8;
8, 1, 9;
9, 1, 10;
10, 1, 11;
11, 1, 12;
12, 1, 13;
13, 1, 14;
14, 1, 15;
15, 1, 16;
16, 1, 17;
17, 1, 18;
18, 1, 19;
19, 1, 20;
20, 1, 21;
21, 1, 22;
22, 1, 23;
23, 1, 24;
24, 1, 25;
25, 1, 26;
26, 1, 27;
27, 1, 28;
28, 1, 29;
29, 1, 30;
30, 1, 31;
31, 1, 32;
32, 1, 33;
33, 1, 34;
34, 1, 35;
35, 1, 36;
36, 1, 37;
37, 1, 38;
38, 1, 39;
39, 1, 40;
40, 1, 41;
41, 1, 42;
42, 1, 43;
43, 1, 44;
44, 1, 45;
45, 1, 46;
46, 1, 47;
47, 1, 48;
48, 2, 24;
49, 2, 25;
50, 2, 26;
51, 2, 27;
52, 2, 28;
53, 2, 29;
54, 2, 30;
55, 2, 31;
56, 2, 32;
57, 2, 33;
58, 2, 34;
59, 2, 35;
60, 2, 36;
61, 2, 37;
62, 2, 38;
63, 2, 39;
64, 2, 40;
65, 2, 41;
66, 2, 42;
67, 2, 43;
68, 2, 44;
69, 2, 45;
70, 2, 46;
71, 2, 47;
72, 2, 48;
73, 2, 49;
74, 2, 50;
75, 2, 51;
76, 2, 52;
77, 2, 53;
78, 2, 54;
79, 2, 55;
80, 2, 56;
81, 2, 57;
82, 2, 58;
83, 2, 59;
84, 2, 60;
85, 2, 61;
86, 2, 62;
87, 2, 63;
88, 2, 20;
89, 2, 21;
90, 2, 22;
91, 2, 23;
92, 2, 24;
93, 2, 25;
94, 2, 26;
95, 2, 27;
96, 2, 28;
97, 2, 29;
98, 2, 30;
99, 2, 31;
100, 2, 32;
